,name,slug,mc,sector,category,tagline,desc
SOC,All Sports,all-sports,39435016.05824756,Misc,Media and Entertainment,,
IDEX,IDEX,idex,38314191.459283866,Decentralized Exchanges,Financial,Decentralized cryptobanking and financial platform,"In May 2019 Aurora's branding and token were consolidated under the IDEX name.

Aurora’s mission is to build a collection of decentralized applications, including IDEX—the first real-time non-custodial trading platform—that together form a distributed financial and banking platform. Founded by a group of blockchain enthusiasts who aspire to see digital currency flourish, Aurora aims to provide decentralized financial solutions to anybody in the world."
REVV,REVV,revv,38069597.726460695,Gaming,Media and Entertainment,REVV is the utility token for branded motorsports blockchain game titles produced by Animoca Brands.,"REVV is the main utility token and in-game currency for branded motorsports blockchain game titles produced by Animoca Brands, including F1® Delta Time, and two upcoming titles based on MotoGP™ and Formula E."
BOR,BoringDAO,boringdao,37900413.41324594,,,,
PHX,Red Pulse Phoenix,red-pulse-phoenix,37715048.3126148,Content Creation and Distribution,Media and Entertainment,A market intelligence platform covering China's economy and capital markets,"Red Pulse is a market intelligence platform covering China's economy and capital markets. It connects industry experts, practitioners, and professionals together to share their insights and analyses to a global audience."
PAI,Project PAI,project-pai,37273773.63582465,AI,Services,Platform for artificial intelligence avatars,Project PAI plans to develop an ecosystem based on artificial intelligence powered avatars.
RCN,Ripio Credit Network,ripio-credit-network,36784637.94115277,Lending,Financial,Peer-to-peer credit network,"RCN is a global peer-to-peer credit protocol based on co-signed smart contracts that connects lenders and borrowers all over the world, aiming to enhance transparency and reliability in the lending ecosystem."
DG,Decentral Games,decentral-games,36051753.70062032,Gaming,Media and Entertainment,DAO-governed metaverse casino,
CND,Cindicator,cindicator,36002977.83906306,Asset Management,Financial,Trading analytics platform,Cindicator is an intelligence platform for the asset management industry. Their products span offerings for traders and analysts including forecasting and arbitrage tools. In order to use the platform individuals must use CND tokens. 
GO,GoChain,gochain,35685894.161874324,Enterprise and BaaS,Infrastructure,High-performance blockchain,
BNK,Bankera,bankera-1,35608339.78963931,,,,
NEST,Nest Protocol,nest-protocol,35555176.82626309,Data Management,Infrastructure,,
NCASH,Nucleus Vision,nucleus-vision,35010835.00684766,IoT,Services,"IoT-based, contactless identification system ",
NAS,Nebulas,nebulas,34893667.99910091,Smart Contract Platforms,Infrastructure,Blockchain Search and Rankings,Nebulas is a search engine for the blockchain world. It uses a custom algorithm to determine the best users and apps across blockchains called Nebulas Rank. This allows it to determine who the biggest contributors are to blockchain communities and to reward those who participate in their own community. 
FXS,Frax Share,frax-share,34861627.70311918,Stablecoins,Payments,,
SWINGBY,SWINGBY,swingby,34767573.01089563,Currencies,Payments,,
INSUR,InsurChain,insurchain,,,,,
CVP,PowerPool,powerpool,34220087.068115756,Misc,Financial,Meta-governance protocol for DeFi applications,"PowerPool is a protocol that aims to accumulate governance power in Ethereum based protocols. It allows token holders to pool, lend, and borrow governance tokens, as well as earn income, and accumulate governance power in protocols. Concentrated Voting Power(CVP) is the token used to govern and incentivize users in the PowerPool platform."
MOF,Molecular Future,molecular-future,34089149.25881424,Misc,Financial,One-stop digital asset investment service platform,
KAN,BitKan,bitkan,34064101.93723687,Information,Services,,
SKY,Skycoin,skycoin,33992250.78595263,Application Development,Infrastructure,"A ""third generation"" cryptocurrency building a new Internet protocol",Skycoin is a cryptocurrency project building a blockchain protocol to power Web 3.0.
RAD,Radon,radon,,,,,
RBTC,RSK,rootstock,,,,Bitcoin sidechain,RSK is a sidechain built on Bitcoin enabling more smart contract functionality 
VID,Videocoin,videocoin,32683394.218474567,,,Decentralized Video/Content Distribution Network,
PNT,Penta,penta,2064772.0269739814,Smart Contract Platforms,Infrastructure,,
TMTG,The Midas Touch Gold,the-midas-touch-gold,32451467.115829982,,,,
PERL,Perlin,perlin,31943038.26762115,,,Scalable DAG-based distributed ledger protocol using Avalanche consensus,"Perlin is the first practical, trustless and decentralized cloud computing marketplace that leverages underutilized compute power in everyday smart-devices to make supercomputing economically viable and accessible globally."
QSP,Quantstamp,quantstamp,31748686.883249875,Security,Services,A protocol for auditing smart contracts,Quantstamp is a protocol that extends Ethereum's smart contract functionality and audits for security. 
BZ,Bit-Z Token,bit-z-token,31345897.563242998,Centralized Exchanges,Financial,,
KP3R,Keep3rV1,keep3rv1,31339288.963630155,,,,
NFTX,NFTX,nftx,31316044.5434192,Tokenization,Infrastructure,A community-owned protocol for NFT index funds on Ethereum,"NFTX is a community owned and led protocol for NFT index funds on Ethereum. NFTX index funds are ERC20 tokens that are backed by NFT collectibles. The protocol is ultimately governed by NFTX token holders.

"
CLO,Callisto Network,callisto-network,31078992.69458736,,,,
AST,AirSwap,airswap,30703571.833792534,Decentralized Exchanges,Financial,Decentralized exchange protocol,"Airswap is a peer-to-peer, non-custodial exchange protocol and network for trading ERC20 tokens that allows traders to identify potential counterparties, negotiate directly (and privately), and execute on-chain. "
CUDOS,Cudos,cudos,30543450.516630832,Shared Compute,Infrastructure,,
GAME,GameCredits,gamecredits,30496367.699477468,Gaming,Payments, A Litecoin fork focusing on cryptocurrency gaming ,GameCredits is a blockchain focused on building for cryptocurrency use in the gaming industry. 
GBYTE,Obyte,byteball,30227846.81602988,Smart Contract Platforms,Infrastructure,A DAG protocol for data storage and asset issuance,Byteball is an open-source DAG protocol for data storage and peer-to-peer asset issuance. 
XSN,Stakenet,stakenet,29793598.63103846,Interoperability,Infrastructure,An interoperability protocol focused on the Lightning Network,Stakenet is a platform looking to provide a non-custodial interchain economy for the Lightning Network.
NEBL,Neblio,neblio,29643073.636035815,Enterprise and BaaS,Infrastructure,Development platform for enterprise blockchain applications,
CAS,Cashaa,cashaa-1,,,,,
QASH,Qash,qash,27921592.20202842,Centralized Exchanges,Financial,Global liquidity for the cryptoasset market,"Quoine plans to develop a universal liquidity solution for cryptoasset trading along with a suite of associated services, referred to as the Worldbook and Prime Brokerage, using the Qash (QASH) token. "
DCN,Dentacoin,dentacoin,27434950.20807551,Misc,Services,,
CFI,Cofound.it,cofound-it,,,,,
DF,dForce,dforce,26690085.751607414,,,,
WEST,Waves Enterprise,waves-enterprise,26443502.853835396,Enterprise and BaaS,Infrastructure,,"Waves Enterprise is a hybrid enterprise-grade blockchain platform, which combines permissioned public and private approaches. The Waves Enterprise mainnet brings together enterprises, service providers and decentralized applications in a trustless environment, utilizing the benefits of public permissioned blockchain across a wide range of business use cases. Sidechains are used to build private infrastructures, or hybrid ones, storing metadata on the mainnet. The platform is fueled by the Waves Enterprise System Token (WEST), the native utility token of payment for all network operations."
TCT,TokenClub,tokenclub,26293385.334769607,Asset Management,Financial,,
GTO,GIFTO,gifto,26037645.27232136,Content Creation and Distribution,Media and Entertainment,Decentalized peer-to-peer gifting platform,GIFTO a decentralized virtual gifting protocol running on Ethereum. 
FXF,FXF,fxf,25752104.712416146,Asset Management,Infrastructure,,
OLY,OLY,oly,25647313.22770496,Social Media,Media and Entertainment,,
RDN,Raiden Network,raiden-network,25356869.22238407,Scaling,Infrastructure,Second-layer payment solution for Ethereum,Raiden Network is an independent protocol layer that uses hash time-lock contracts to facilitate trustless payments over the Ethereum blockchain.
WABI,Tael,tael,25305411.96751656,Rewards,Payments,A token in the Techrock ecosystem for verifiably authentic products,"The Tael ecosystem is a marketplace of goods that are verifiably authentic through the use of blockchain & NFC technology, combating counterfeits. Tael is used as a loyalty point to incentivize & reward consumers in this safe-product ecosystem."
MDT,Measurable Data Token,measurable-data-token,25130498.067911103,Data Management,Services,,
ZAP,Zap,zap,24773810.63680519,,,,
NLG,Gulden,gulden,24589577.214687783,,,,
SOUL,Phantasma,phantasma,24164244.786953766,Smart Contract Platforms,Infrastructure,,
NAV,NavCoin,navcoin,23928142.79917131,Currencies,Payments,,
GVT,Genesis Vision,genesis-vision,23521371.81984759,Asset Management,Financial,Network for asset managers and investors,Genesis Vision is a platform that allows investors to invest with various asset managers using a smart contract platform that manages profit distributions and provides increased transparency. 
